poi,predominance,term
Plazuela Sapos,0.1025,general
Plazuela Sapos,0.0946,estilo
Plazuela Sapos,0.0946,obra
Plazuela Sapos,0.0946,tiempo
Plazuela Sapos,0.0886,parte
Plazuela Sapos,0.0886,pintura
Plazuela Sapos,0.0886,sitio
Plazuela Sapos,0.0886,época
Plazuela Sapos,0.0841,actividad
Plazuela Sapos,0.0841,talavera
Plazuela Sapos,0.0807,embargo
Plazuela Sapos,0.0807,francisco
Plazuela Sapos,0.0807,hecho
Plazuela Sapos,0.0807,origen
Plazuela Sapos,0.0807,recorrido
Plazuela Sapos,0.0807,región
Plazuela Sapos,0.0801,ahi
Plazuela Sapos,0.0801,apolillada
Plazuela Sapos,0.0801,asli
Plazuela Sapos,0.0801,bazar
Plazuela Sapos,0.0801,bolsillo
Plazuela Sapos,0.0801,cafeterías
Plazuela Sapos,0.0801,crecida
Plazuela Sapos,0.0801,curiosidad
Plazuela Sapos,0.0801,desbordaban
Plazuela Sapos,0.0801,diverisidad
Plazuela Sapos,0.0801,editorial
Plazuela Sapos,0.0801,endonde
Plazuela Sapos,0.0801,estancia
Plazuela Sapos,0.0801,estatuillo
Plazuela Sapos,0.0801,frecuencia
Plazuela Sapos,0.0801,herrajes
Plazuela Sapos,0.0801,inverosímil
Plazuela Sapos,0.0801,juguet
Plazuela Sapos,0.0801,maxicano
Plazuela Sapos,0.0801,mañana
Plazuela Sapos,0.0801,molino
Plazuela Sapos,0.0801,monedo
Plazuela Sapos,0.0801,novedosos
Plazuela Sapos,0.0801,numismatica
Plazuela Sapos,0.0801,numismática
Plazuela Sapos,0.0801,originalidad
Plazuela Sapos,0.0801,pareja
Plazuela Sapos,0.0801,pintoresco
Plazuela Sapos,0.0801,porcelana
Plazuela Sapos,0.0801,precio
Plazuela Sapos,0.0801,raro
Plazuela Sapos,0.0801,recorrerlo
Plazuela Sapos,0.0801,revestidad
Paseo San Francisco,0.9077,san
Paseo San Francisco,0.6044,ciudad
Paseo San Francisco,0.6044,lugar
Paseo San Francisco,0.5522,paseo
Paseo San Francisco,0.5453,centro
Paseo San Francisco,0.4611,francisco
Paseo San Francisco,0.2996,antiguo
Paseo San Francisco,0.2996,historia
Paseo San Francisco,0.2393,zona
Paseo San Francisco,0.2328,tradición
Paseo San Francisco,0.2276,época
Paseo San Francisco,0.2040,año
Paseo San Francisco,0.2015,espacio
Paseo San Francisco,0.2015,mayor
Paseo San Francisco,0.1954,agua
Paseo San Francisco,0.1954,iglesia
Paseo San Francisco,0.1901,convento
Paseo San Francisco,0.1897,convención
Paseo San Francisco,0.1724,mismo
Paseo San Francisco,0.1574,lavadero
Paseo San Francisco,0.1534,domingo
Paseo San Francisco,0.1534,juan
Paseo San Francisco,0.1534,único
Paseo San Francisco,0.1497,hotel
Paseo San Francisco,0.1464,comercial
Paseo San Francisco,0.1455,restaurante
Paseo San Francisco,0.1455,viejo
Paseo San Francisco,0.1452,jardín
Paseo San Francisco,0.1372,poblano
Paseo San Francisco,0.1266,tiempo
Paseo San Francisco,0.1186,nombre
Paseo San Francisco,0.1186,parte
Paseo San Francisco,0.1126,actividad
Paseo San Francisco,0.1080,origen
Paseo San Francisco,0.1072,almoloya
Paseo San Francisco,0.1072,antes
Paseo San Francisco,0.1072,asistan
Paseo San Francisco,0.1072,chalupa
Paseo San Francisco,0.1072,comprador
Paseo San Francisco,0.1072,esparcimiento
Paseo San Francisco,0.1072,inmejorable
Paseo San Francisco,0.1044,colonial
Paseo San Francisco,0.1019,analco
Paseo San Francisco,0.1019,baño
Paseo San Francisco,0.1019,categoría
Paseo San Francisco,0.1019,local
Paseo San Francisco,0.1001,artesanía
Paseo San Francisco,0.1001,plaza
Paseo San Francisco,0.1001,tienda
Paseo San Francisco,0.0997,bautista
Paseo San Francisco,0.0997,expositor
Paseo San Francisco,0.0997,poblanas
Paseo San Francisco,0.0991,barrio
Paseo San Francisco,0.0991,especial
Paseo San Francisco,0.0991,habitante
Paseo San Francisco,0.0989,café
Paseo San Francisco,0.0989,casona
Paseo San Francisco,0.0989,hermoso
Paseo San Francisco,0.0989,plato
Paseo San Francisco,0.0989,ubicación
Paseo San Francisco,0.0989,verde
Paseo San Francisco,0.0701,histórico
Paseo San Francisco,0.0647,gran
Paseo San Francisco,0.0647,mano
Paseo San Francisco,0.0647,mayo
Paseo San Francisco,0.0606,estado
Paseo San Francisco,0.0575,edificio
Paseo San Francisco,0.0575,fachada
Paseo San Francisco,0.0575,talavera
Paseo San Francisco,0.0552,arquitectura
Paseo San Francisco,0.0552,forma
Paseo San Francisco,0.0552,solo
Paseo San Francisco,0.0552,tipo
Paseo San Francisco,0.0548,acinturadas
Paseo San Francisco,0.0548,acontecía
Paseo San Francisco,0.0548,acuario
Paseo San Francisco,0.0548,amandi
Paseo San Francisco,0.0548,andrajos
Paseo San Francisco,0.0548,anécdota
Paseo San Francisco,0.0548,asepsia
Paseo San Francisco,0.0548,asímismo
Paseo San Francisco,0.0548,bañarse
Paseo San Francisco,0.0548,boutique
Paseo San Francisco,0.0548,brota
Paseo San Francisco,0.0548,chism
Paseo San Francisco,0.0548,cierre
Paseo San Francisco,0.0548,combinara
Paseo San Francisco,0.0548,confluían
Paseo San Francisco,0.0548,coronel
Paseo San Francisco,0.0548,cristalino
Paseo San Francisco,0.0548,culinario
Paseo San Francisco,0.0548,degustación
Paseo San Francisco,0.0548,denominación
Paseo San Francisco,0.0548,desperdicio
Paseo San Francisco,0.0548,distraída
Paseo San Francisco,0.0548,duda
Paseo San Francisco,0.0548,efímero
Paseo San Francisco,0.0548,embellecido
Paseo San Francisco,0.0548,encanto
Paseo San Francisco,0.0548,espalda
Murep,0.5186,sala
Murep,0.4870,museo
Murep,0.3985,ciudad
Murep,0.3469,historia
Murep,0.2905,época
Murep,0.2746,histórico
Murep,0.2746,primero
Murep,0.2729,objeto
Murep,0.1999,región
Murep,0.1657,estado
Murep,0.1618,vida
Murep,0.1596,año
Murep,0.1578,regional
Murep,0.1384,prehispánico
Murep,0.1381,mayo
Murep,0.1349,centro
Murep,0.1333,etnografía
Murep,0.1285,poblano
Murep,0.1280,antiguo
Murep,0.1267,amplio
Murep,0.1245,cultura
Murep,0.1178,origen
Murep,0.1139,escultura
Murep,0.1112,importante
Murep,0.1111,colección
Murep,0.1111,exposición
Murep,0.1081,periodo
Murep,0.1055,actividad
Murep,0.1055,pieza
Murep,0.1004,arqueología
Murep,0.0979,aspecto
Murep,0.0979,colonial
Murep,0.0955,religión
Murep,0.0954,proyecto
Murep,0.0951,siglo
Murep,0.0928,cerámica
Murep,0.0927,humano
Murep,0.0927,revolución
Murep,0.0927,valle
Murep,0.0881,artístico
Murep,0.0860,espacio
Murep,0.0838,tehuacán
Murep,0.0794,gran
Murep,0.0783,central
Murep,0.0783,cultural
Murep,0.0783,fuerte
Murep,0.0783,inah
Murep,0.0783,indígeno
Murep,0.0783,piedra
Murep,0.0783,sur
Murep,0.0780,danza
Murep,0.0775,virreinal
Murep,0.0774,instrumento
Murep,0.0744,parte
Murep,0.0744,área
Murep,0.0677,servicio
Murep,0.0672,etnográfico
Murep,0.0672,territorio
Murep,0.0655,diverso
Murep,0.0639,político
Murep,0.0639,social
Murep,0.0639,variedad
Murep,0.0639,zona
Murep,0.0628,permanente
Murep,0.0628,resto
Murep,0.0625,acervo
Murep,0.0625,americano
Murep,0.0625,cívico
Murep,0.0621,temporal
Murep,0.0597,méxico
Murep,0.0559,planta
Murep,0.0531,público
Murep,0.0531,religioso
Murep,0.0509,grande
Murep,0.0505,amaranto
Murep,0.0505,exploraciones
Murep,0.0505,horizonte
Murep,0.0505,perro
Murep,0.0505,primavera
Murep,0.0505,sierra
Murep,0.0505,tepeaca
Murep,0.0505,utensilio
Murep,0.0492,visitante
Murep,0.0480,barro
Murep,0.0480,bautismal
Murep,0.0480,independencia
Murep,0.0480,mesoamérico
Murep,0.0480,mexico
Murep,0.0480,pila
Murep,0.0480,posclásico
Murep,0.0480,sistema
Murep,0.0480,urbano
Murep,0.0480,Época
Murep,0.0480,batalla
Murep,0.0480,elemento
Murep,0.0480,inmueble
Murep,0.0480,lado
Murep,0.0472,centenario
Murep,0.0472,color
Murep,0.0472,manera
Catedral Puebla,0.6301,san
Catedral Puebla,0.3164,capilla
Catedral Puebla,0.2375,mayor
Catedral Puebla,0.2192,obra
Catedral Puebla,0.2125,año
Catedral Puebla,0.2094,mismo
Catedral Puebla,0.2069,catedral
Catedral Puebla,0.1840,obispo
Catedral Puebla,0.1777,siglo
Catedral Puebla,0.1719,santo
Catedral Puebla,0.1584,juan
Catedral Puebla,0.1545,lado
Catedral Puebla,0.1454,ciudad
Catedral Puebla,0.1414,altar
Catedral Puebla,0.1287,pintura
Catedral Puebla,0.1184,xvi
Catedral Puebla,0.1154,gran
Catedral Puebla,0.1119,lugar
Catedral Puebla,0.1065,antiguo
Catedral Puebla,0.1038,palafox
Catedral Puebla,0.1032,josé
Catedral Puebla,0.1013,espacio
Catedral Puebla,0.0989,retablo
Catedral Puebla,0.0987,lateral
Catedral Puebla,0.0979,primer
Catedral Puebla,0.0913,pedro
Catedral Puebla,0.0904,cuerpo
Catedral Puebla,0.0902,columna
Catedral Puebla,0.0880,estilo
Catedral Puebla,0.0838,estatua
Catedral Puebla,0.0826,puerta
Catedral Puebla,0.0797,iglesia
Catedral Puebla,0.0792,cabildo
Catedral Puebla,0.0783,maría
Catedral Puebla,0.0773,rey
Catedral Puebla,0.0745,cornisa
Catedral Puebla,0.0739,virgen
Catedral Puebla,0.0736,plata
Catedral Puebla,0.0715,méxico
Catedral Puebla,0.0704,nuevo
Catedral Puebla,0.0696,piedra
Catedral Puebla,0.0688,orden
Catedral Puebla,0.0681,alto
Catedral Puebla,0.0681,templo
Catedral Puebla,0.0653,principal
Catedral Puebla,0.0650,cúpula
Catedral Puebla,0.0610,grande
Catedral Puebla,0.0609,maestro
Catedral Puebla,0.0603,bóveda
Catedral Puebla,0.0602,nave
Catedral Puebla,0.0597,construcción
Catedral Puebla,0.0597,primero
Catedral Puebla,0.0590,interior
Catedral Puebla,0.0576,jesús
Catedral Puebla,0.0576,nicho
Catedral Puebla,0.0576,sagrario
Catedral Puebla,0.0576,pequeño
Catedral Puebla,0.0563,portada
Catedral Puebla,0.0559,perdón
Catedral Puebla,0.0537,poblano
Catedral Puebla,0.0532,muro
Catedral Puebla,0.0520,arco
Catedral Puebla,0.0516,mendoza
Catedral Puebla,0.0516,parte
Catedral Puebla,0.0516,segundo
Catedral Puebla,0.0500,escultura
Catedral Puebla,0.0490,edificio
Catedral Puebla,0.0479,norte
Catedral Puebla,0.0473,pintor
Catedral Puebla,0.0470,francisco
Catedral Puebla,0.0465,planta
Catedral Puebla,0.0450,centro
Catedral Puebla,0.0443,medio
Catedral Puebla,0.0443,oro
Catedral Puebla,0.0443,órgano
Catedral Puebla,0.0443,vez
Catedral Puebla,0.0443,último
Catedral Puebla,0.0434,señora
Catedral Puebla,0.0431,miguel
Catedral Puebla,0.0420,corazón
Catedral Puebla,0.0420,nav
Catedral Puebla,0.0420,nepomuceno
Catedral Puebla,0.0420,santiago
Catedral Puebla,0.0409,acceso
Catedral Puebla,0.0409,largo
Catedral Puebla,0.0399,cuadro
Catedral Puebla,0.0399,pilastra
Catedral Puebla,0.0399,del
Catedral Puebla,0.0392,día
Catedral Puebla,0.0392,fachada
Catedral Puebla,0.0392,sur
Catedral Puebla,0.0390,altura
Catedral Puebla,0.0390,concepción
Catedral Puebla,0.0390,coro
Catedral Puebla,0.0388,arquitecto
Catedral Puebla,0.0388,madera
Catedral Puebla,0.0387,hermoso
Catedral Puebla,0.0376,forma
Catedral Puebla,0.0373,intercolumnios
Catedral Puebla,0.0373,pablo
Barrio Analco,1.2965,ciudad
Barrio Analco,0.8840,lugar
Barrio Analco,0.7011,antiguo
Barrio Analco,0.6959,san
Barrio Analco,0.5415,barrio
Barrio Analco,0.5136,analco
Barrio Analco,0.4357,francisco
Barrio Analco,0.3991,río
Barrio Analco,0.3683,custodio
Barrio Analco,0.3589,santo
Barrio Analco,0.3425,tianguis
Barrio Analco,0.3425,Ángel
Barrio Analco,0.2992,siglo
Barrio Analco,0.2974,capilla
Barrio Analco,0.2806,iglesia
Barrio Analco,0.2806,lado
Barrio Analco,0.2757,puesto
Barrio Analco,0.2724,indio
Barrio Analco,0.2724,popular
Barrio Analco,0.2705,mayor
Barrio Analco,0.2340,xvi
Barrio Analco,0.2172,año
Barrio Analco,0.2060,domingo
Barrio Analco,0.2010,náhuatl
Barrio Analco,0.2010,puente
Barrio Analco,0.1974,cantera
Barrio Analco,0.1974,indígeno
Barrio Analco,0.1966,artesanío
Barrio Analco,0.1966,tlaxcalteco
Barrio Analco,0.1950,comida
Barrio Analco,0.1950,plazuela
Barrio Analco,0.1836,centro
Barrio Analco,0.1836,mismo
Barrio Analco,0.1461,poblano
Barrio Analco,0.1461,primero
Barrio Analco,0.1348,mano
Barrio Analco,0.1348,mayo
Barrio Analco,0.1263,nombre
Barrio Analco,0.1263,planta
Barrio Analco,0.1263,sitio
Barrio Analco,0.1199,religioso
Barrio Analco,0.1149,típico
Barrio Analco,0.1141,abastecedora
Barrio Analco,0.1141,antojito
Barrio Analco,0.1141,atraccion
Barrio Analco,0.1141,barrientos
Barrio Analco,0.1141,calpullis
Barrio Analco,0.1141,cauce
Barrio Analco,0.1141,compra
Barrio Analco,0.1141,cruce
Barrio Analco,0.1141,dominical
Barrio Analco,0.1141,empedrar
Barrio Analco,0.1141,infantil
Barrio Analco,0.1141,ovando
Barrio Analco,0.1141,planto
Barrio Analco,0.1141,potable
Barrio Analco,0.1141,ribera
Barrio Analco,0.1141,rio
Barrio Analco,0.1141,sismo
Barrio Analco,0.1141,traida
Barrio Analco,0.1112,actual
Barrio Analco,0.1112,diverso
Barrio Analco,0.1112,final
Barrio Analco,0.1112,natural
Barrio Analco,0.1112,visitante
Barrio Analco,0.1085,alcalde
Barrio Analco,0.1085,alonso
Barrio Analco,0.1085,antigüedad
